2025-09-24 20:21:58 | INFO | Called process_message() with:
2025-09-24 20:21:58 | INFO |    message={'message': 'I just loved a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-24 20:20:38', 'category': 'humor', 'sentiment': 0.85, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-24 20:21:58 | INFO | Processed message: {'message': 'I just loved a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-24 20:20:38', 'category': 'humor', 'sentiment': 0.85, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-24 20:21:58 | INFO | Calling SQLite insert_message() with:
2025-09-24 20:21:58 | INFO | message={'message': 'I just loved a meme! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-24 20:20:38', 'category': 'humor', 'sentiment': 0.85, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-24 20:21:58 | INFO | db_path=PosixPath('PROJECT_ROOT/data/buzz.sqlite')
2025-09-24 20:21:58 | INFO | Inserted one message into the database.
2025-09-24 20:21:58 | INFO | Called process_message() with:
2025-09-24 20:21:58 | INFO |    message={'message': 'I just tried travel! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:43', 'category': 'travel', 'sentiment': 0.77, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-24 20:21:58 | INFO | Processed message: {'message': 'I just tried travel! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:43', 'category': 'travel', 'sentiment': 0.77, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-24 20:21:58 | INFO | Calling SQLite insert_message() with:
2025-09-24 20:21:58 | INFO | message={'message': 'I just tried travel! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:43', 'category': 'travel', 'sentiment': 0.77, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-24 20:21:58 | INFO | db_path=PosixPath('PROJECT_ROOT/data/buzz.sqlite')
2025-09-24 20:21:58 | INFO | Inserted one message into the database.
2025-09-24 20:21:58 | INFO | Called process_message() with:
2025-09-24 20:21:58 | INFO |    message={'message': 'I just shared game! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:48', 'category': 'gaming', 'sentiment': 0.5, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-24 20:21:58 | INFO | Processed message: {'message': 'I just shared game! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:48', 'category': 'gaming', 'sentiment': 0.5, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-24 20:21:58 | INFO | Calling SQLite insert_message() with:
2025-09-24 20:21:58 | INFO | message={'message': 'I just shared game! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:48', 'category': 'gaming', 'sentiment': 0.5, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-24 20:21:58 | INFO | db_path=PosixPath('PROJECT_ROOT/data/buzz.sqlite')
2025-09-24 20:21:59 | INFO | Inserted one message into the database.
2025-09-24 20:21:59 | INFO | Called process_message() with:
2025-09-24 20:21:59 | INFO |    message={'message': 'I just tried a movie! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:53', 'category': 'entertainment', 'sentiment': 0.14, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-24 20:21:59 | INFO | Processed message: {'message': 'I just tried a movie! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:53', 'category': 'entertainment', 'sentiment': 0.14, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-24 20:21:59 | INFO | Calling SQLite insert_message() with:
2025-09-24 20:21:59 | INFO | message={'message': 'I just tried a movie! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-24 20:20:53', 'category': 'entertainment', 'sentiment': 0.14, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-24 20:21:59 | INFO | db_path=PosixPath('PROJECT_ROOT/data/buzz.sqlite')
2025-09-24 20:21:59 | INFO | Inserted one message into the database.
2025-09-24 20:21:59 | INFO | Called process_message() with:
2025-09-24 20:21:59 | INFO |    message={'message': 'I just found travel! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-24 20:20:58', 'category': 'travel', 'sentiment': 0.31, 'keyword_mentioned': 'travel', 'message_length': 35}
